"Pop","position","variable","value","winlens"
"All",5000.5,"Pi",0.000927543996113144,6669
"All",6000.5,"Pi",0.000813074406965982,7559
"All",7000.5,"Pi",0.000735252621379461,8504
"All",8000.5,"Pi",0.00065473556361435,9380
"All",9000.5,"Pi",0.000323965916066726,9755
"All",10000.5,"Pi",0.000278564248339335,9998
"All",11000.5,"Pi",0.000238376516273605,9998
"All",12000.5,"Pi",0.000258436657681941,10000
"All",13000.5,"Pi",0.00025288409703504,10000
"All",14000.5,"Pi",0.000309182389937107,10000
"All",15000.5,"Pi",0.000357088948787062,10000
"All",16000.5,"Pi",0.000362202966059886,9962
"All",17000.5,"Pi",0.000367812782914698,9962
"All",18000.5,"Pi",0.000415649549149301,9962
"All",19000.5,"Pi",0.000437581561682264,9937
"All",20000.5,"Pi",0.000374307824831027,9937
"All",21000.5,"Pi",0.000359226288239449,9937
"All",22000.5,"Pi",0.000339099489406803,9937
"All",23000.5,"Pi",0.000382445344574684,9937
"All",24000.5,"Pi",0.000354488443410919,9937
"All",25000.5,"Pi",0.000312327913514767,9920
"All",26000.5,"Pi",0.000321516447674782,9869
"All",27000.5,"Pi",0.00028356354921463,9823
"All",28000.5,"Pi",0.000235909652968961,9823
"All",29000.5,"Pi",0.000179311336446968,9848
"All",30000.5,"Pi",0.000179311336446968,9848
"All",31000.5,"Pi",0.000288408973631909,9848
"All",32000.5,"Pi",0.000315231774545417,9848
"All",33000.5,"Pi",0.000341616652178705,9848
"All",34000.5,"Pi",0.000300417628793266,9824
"All",35000.5,"Pi",0.000297981390177497,9841
"All",36000.5,"Pi",0.000324373037135963,9930
"All",37000.5,"Pi",0.000330226505878259,9976
"All",38000.5,"Pi",0.000305080801290573,9976
"All",39000.5,"Pi",0.000337301061826337,9974
"All",40000.5,"Pi",0.000351966325384004,9974
"All",41000.5,"Pi",0.000278297698004029,9974
"All",42000.5,"Pi",0.000251597549856041,9974
"All",43000.5,"Pi",0.000173118571898797,9974
"All",44000.5,"Pi",0.000200525280258208,9998
"All",45000.5,"Pi",0.000223386995458391,9998
"All",46000.5,"Pi",0.000192383490175124,9998
"All",47000.5,"Pi",0.000231627893231326,9972
"All",48000.5,"Pi",0.000228059951512032,9972
"All",49000.5,"Pi",0.000261758739839486,9974
"All",50000.5,"Pi",0.000263321375127566,9923
"All",51000.5,"Pi",0.000243139816933576,9811
"All",52000.5,"Pi",0.000243249710636144,9811
"All",53000.5,"Pi",0.000247095990226054,9811
"All",54000.5,"Pi",0.000220779070847762,9806
"All",55000.5,"Pi",0.000203242087879526,9806
"All",56000.5,"Pi",0.000192063864670932,9806
"All",57000.5,"Pi",0.00014469502740378,9832
"All",58000.5,"Pi",0.000169678998915838,9832
"All",59000.5,"Pi",0.00010470605178682,9832
"All",60000.5,"Pi",0.000165403323103128,9883
"All",61000.5,"Pi",0.000172393080681976,9992
