"Pop","position","variable","value","winlens"
"All",5000.5,"Pi",0.000926968949266533,3683
"All",6000.5,"Pi",0.000968532579756752,2683
"All",7000.5,"Pi",0.000967046046715577,2618
"All",8000.5,"Pi",0.00108238478906468,2644
"All",9000.5,"Pi",0.00100876386295535,2967
"All",10000.5,"Pi",0.00100774490955843,2970
"All",11000.5,"Pi",0.00100033502051756,2992
"All",12000.5,"Pi",0.00096269004029529,3400
"All",13000.5,"Pi",0.00108270763591634,2612
"All",14000.5,"Pi",0.000995194205164222,1869
"All",15000.5,"Pi",0.000923640493653371,1685
"All",16000.5,"Pi",0.000923640493653371,1685
"All",17000.5,"Pi",0.00148626548350949,2136
"All",18000.5,"Pi",0.00134164325709585,1896
"All",19000.5,"Pi",0.00179391121049703,1303
"All",20000.5,"Pi",0.00179805100559818,1300
"All",21000.5,"Pi",0.00182900337032678,1278
"All",22000.5,"Pi",0.0023701872715002,868
"All",23000.5,"Pi",0.00162124367996765,1765
"All",24000.5,"Pi",0.00104841647564589,2765
"All",25000.5,"Pi",0.000850751751992092,3230
"All",26000.5,"Pi",0.000850751751992092,3230
"All",27000.5,"Pi",0.000337407848256064,2606
"All",28000.5,"Pi",0.000620778369215834,2704
"All",29000.5,"Pi",0.000631521711948689,2658
"All",30000.5,"Pi",0.000631521711948689,2658
"All",31000.5,"Pi",0.000631521711948689,2658
"All",32000.5,"Pi",0.000631521711948689,2658
"All",33000.5,"Pi",0.000496542968131111,1761
"All",34000.5,"Pi",0.00109991551492893,761
"All",35000.5,"Pi",0.00720089961985868,111
"All",36000.5,"Pi",0.00720089961985868,111
"All",37000.5,"Pi",0.00720089961985868,111
"All",38000.5,"Pi",NA,0
"All",39000.5,"Pi",NA,0
"All",40000.5,"Pi",NA,0
"All",41000.5,"Pi",NA,0
"All",42000.5,"Pi",NA,0
"All",43000.5,"Pi",NA,0
"All",44000.5,"Pi",NA,0
"All",45000.5,"Pi",0.00128697880270207,216
"All",46000.5,"Pi",0.000305894453113917,1216
"All",47000.5,"Pi",0.000176369846351455,2216
"All",48000.5,"Pi",0.000139017401760291,3216
"All",49000.5,"Pi",0.000114909018994086,4216
