"Pop","position","variable","value","winlens"
"All",5000.5,"Pi",0.000107469854174429,9636
"All",6000.5,"Pi",0.000118361207133245,9516
"All",7000.5,"Pi",0.000159621455631354,9516
"All",8000.5,"Pi",0.000163672970333778,9511
"All",9000.5,"Pi",0.000179316652595855,9511
"All",10000.5,"Pi",0.000200496082325067,9511
"All",11000.5,"Pi",0.000196566268423482,9511
"All",12000.5,"Pi",0.000235739262175777,9513
"All",13000.5,"Pi",0.000231810274472847,9513
"All",14000.5,"Pi",0.000179335621401989,9513
"All",15000.5,"Pi",0.000175444237597401,9724
"All",16000.5,"Pi",0.000171154471236132,9658
"All",17000.5,"Pi",0.000136324471219387,9658
"All",18000.5,"Pi",0.000136216739521702,9663
"All",19000.5,"Pi",0.000122771728917717,9663
"All",20000.5,"Pi",0.000105830643633857,9663
"All",21000.5,"Pi",0.000103878048732864,9663
"All",22000.5,"Pi",5.20506012179171e-05,9663
"All",23000.5,"Pi",4.26595495512333e-05,9663
"All",24000.5,"Pi",4.07069546502396e-05,9663
"All",25000.5,"Pi",4.00806299964607e-05,9814
"All",26000.5,"Pi",3.74483378256963e-05,10000
"All",27000.5,"Pi",3.92632524707996e-05,10000
"All",28000.5,"Pi",3.74123989218329e-05,10000
"All",29000.5,"Pi",4.64869721473495e-05,10000
"All",30000.5,"Pi",8.47079964061096e-05,10000
"All",31000.5,"Pi",8.6968754503304e-05,9957
"All",32000.5,"Pi",8.31788731076423e-05,9957
"All",33000.5,"Pi",8.31788731076423e-05,9957
"All",34000.5,"Pi",8.87554128755445e-05,9957
"All",35000.5,"Pi",9.06503535733754e-05,9957
"All",36000.5,"Pi",9.4404140860507e-05,9957
"All",37000.5,"Pi",8.88276010926047e-05,9957
"All",38000.5,"Pi",9.58212195971868e-05,9821
"All",39000.5,"Pi",0.000138983766289905,9821
"All",40000.5,"Pi",9.26009532903117e-05,9821
"All",41000.5,"Pi",8.83716659780563e-05,9864
"All",42000.5,"Pi",8.64588593551546e-05,9864
"All",43000.5,"Pi",9.02480381890931e-05,9864
"All",44000.5,"Pi",9.72434452671335e-05,9864
"All",45000.5,"Pi",0.00010482180293501,9864
"All",46000.5,"Pi",0.000105570988784046,9794
"All",47000.5,"Pi",0.000103644510886527,9794
"All",48000.5,"Pi",9.88928959390911e-05,9883
"All",49000.5,"Pi",4.68191224569148e-05,9883
"All",50000.5,"Pi",4.49099931916814e-05,9883
"All",51000.5,"Pi",6.00375698457214e-05,9883
"All",52000.5,"Pi",9.15272482677068e-05,9787
"All",53000.5,"Pi",0.000113780212139414,9787
"All",54000.5,"Pi",0.000101056363985047,9787
"All",55000.5,"Pi",0.000113559885764447,9787
"All",56000.5,"Pi",0.000107047399556698,9857
"All",57000.5,"Pi",0.000110839269295763,9857
"All",58000.5,"Pi",0.000117389291193662,9904
"All",59000.5,"Pi",0.000123068247630079,9904
"All",60000.5,"Pi",0.000141103016632629,9904
"All",61000.5,"Pi",0.000144405157435913,9904
"All",62000.5,"Pi",0.00011466307277628,10000
"All",63000.5,"Pi",0.000111320754716981,10000
"All",64000.5,"Pi",0.000117401622665878,9955
"All",65000.5,"Pi",9.95153411510289e-05,9953
"All",66000.5,"Pi",0.000127950874952348,9953
"All",67000.5,"Pi",0.000127950874952348,9953
"All",68000.5,"Pi",0.000120909695153926,9953
"All",69000.5,"Pi",0.000115864035079361,9901
"All",70000.5,"Pi",9.96931617623638e-05,9901
"All",71000.5,"Pi",8.1537002534856e-05,9871
"All",72000.5,"Pi",8.7162127291112e-05,9871
"All",73000.5,"Pi",9.24049620153894e-05,9871
"All",74000.5,"Pi",8.63860199258679e-05,9916
"All",75000.5,"Pi",8.44662078096999e-05,9918
"All",76000.5,"Pi",6.88847108735476e-05,9918
"All",77000.5,"Pi",6.8920946912934e-05,9918
"All",78000.5,"Pi",7.25229393210244e-05,9916
"All",79000.5,"Pi",7.02517598092873e-05,9968
"All",80000.5,"Pi",6.65021149439212e-05,9968
"All",81000.5,"Pi",8.41677769516167e-05,9998
"All",82000.5,"Pi",7.69501357172193e-05,9969
"All",83000.5,"Pi",5.68699175890904e-05,9969
"All",84000.5,"Pi",5.8792064730424e-05,9964
"All",85000.5,"Pi",5.50048458367463e-05,9964
"All",86000.5,"Pi",4.21102672225583e-05,9964
"All",87000.5,"Pi",5.39503191817286e-05,9849
"All",88000.5,"Pi",5.22064474962658e-05,9851
"All",89000.5,"Pi",6.5394868719117e-05,9851
"All",90000.5,"Pi",7.11043788750678e-05,9851
"All",91000.5,"Pi",6.24033042923568e-05,9851
"All",92000.5,"Pi",6.22201366987862e-05,9880
"All",93000.5,"Pi",5.67207442023595e-05,9878
"All",94000.5,"Pi",5.66556837187365e-05,9883
"All",95000.5,"Pi",5.66556837187365e-05,9883
"All",96000.5,"Pi",5.856481298397e-05,9883
"All",97000.5,"Pi",5.02706111752449e-05,9998
"All",98000.5,"Pi",4.65322174947119e-05,9998
"All",99000.5,"Pi",3.72835567290708e-05,9996
"All",100000.5,"Pi",3.90991976305347e-05,9996
"All",101000.5,"Pi",2.98052734121501e-05,9996
"All",102000.5,"Pi",4.28213591423602e-05,9958
"All",103000.5,"Pi",4.35517408170384e-05,9791
"All",104000.5,"Pi",6.15010044154638e-05,9791
"All",105000.5,"Pi",0.000113770434608016,9791
"All",106000.5,"Pi",0.000115697502785761,9791
"All",107000.5,"Pi",0.000110531653384818,9756
"All",108000.5,"Pi",0.000119833183956278,9756
"All",109000.5,"Pi",0.000176048330054525,9758
"All",110000.5,"Pi",0.000170358064993139,9758
"All",111000.5,"Pi",0.00017909541277224,9598
"All",112000.5,"Pi",0.000167797321968981,9591
"All",113000.5,"Pi",0.000165434222348324,9728
"All",114000.5,"Pi",0.000153439307736354,9705
"All",115000.5,"Pi",0.000108409212838947,9705
