"Pop","position","variable","value","winlens"
"All",5000.5,"Pi",6.91027388051508e-05,9182
"All",6000.5,"Pi",0.000272266944758393,8638
"All",7000.5,"Pi",0.000628819895067275,8100
"All",8000.5,"Pi",0.000713666967919984,7137
"All",9000.5,"Pi",0.00117567326556091,6675
"All",10000.5,"Pi",0.00192941793672165,6138
"All",11000.5,"Pi",0.00262390909695448,6134
"All",12000.5,"Pi",0.00272462474048438,6134
"All",13000.5,"Pi",0.00274603926503946,6134
"All",14000.5,"Pi",0.00277023679894164,6134
"All",15000.5,"Pi",0.00239240299546008,6952
"All",16000.5,"Pi",0.00200805315491461,7465
"All",17000.5,"Pi",0.00158192822545981,7987
"All",18000.5,"Pi",0.0014373152233382,8950
"All",19000.5,"Pi",0.00112278527268624,9412
"All",20000.5,"Pi",0.000678245070948587,9935
"All",21000.5,"Pi",0.000260981022873852,9939
"All",22000.5,"Pi",0.000201756528464717,9888
"All",23000.5,"Pi",0.00020172018248589,9888
"All",24000.5,"Pi",0.000188617457119014,9888
"All",25000.5,"Pi",0.000168554476806904,9888
"All",26000.5,"Pi",0.000163940830168187,9821
"All",27000.5,"Pi",0.000133259248235856,9183
"All",28000.5,"Pi",0.000142355398420088,8778
"All",29000.5,"Pi",0.00011717654539966,8551
"All",30000.5,"Pi",0.00012143336706016,8562
"All",31000.5,"Pi",0.000111959927191133,8492
"All",32000.5,"Pi",0.000125868196604693,8543
"All",33000.5,"Pi",0.000119859708171708,8508
"All",34000.5,"Pi",0.000124295045390396,8508
"All",35000.5,"Pi",0.000126500209460517,8506
"All",36000.5,"Pi",0.000127252290353261,8604
"All",37000.5,"Pi",0.000120300997054198,9258
"All",38000.5,"Pi",0.000111800005188324,9663
"All",39000.5,"Pi",8.82793082927854e-05,9856
"All",40000.5,"Pi",9.43524422668174e-05,9812
"All",41000.5,"Pi",0.000115293415124941,9777
"All",42000.5,"Pi",0.000106893307071709,9730
"All",43000.5,"Pi",0.000108221553313284,9765
"All",44000.5,"Pi",0.000122317406031866,9765
"All",45000.5,"Pi",0.000201257125710087,9767
"All",46000.5,"Pi",0.000230730927281306,9767
"All",47000.5,"Pi",0.000236415948932683,9767
"All",48000.5,"Pi",0.000229792622736904,9767
"All",49000.5,"Pi",0.000302864377573735,9801
"All",50000.5,"Pi",0.000440092469709696,9826
"All",51000.5,"Pi",0.000663876471751414,9878
"All",52000.5,"Pi",0.000861907909014687,9878
"All",53000.5,"Pi",0.000854485823179356,9878
"All",54000.5,"Pi",0.000957700495119639,9830
"All",55000.5,"Pi",0.000952470451588139,9035
"All",56000.5,"Pi",0.00113831918447929,8493
"All",57000.5,"Pi",0.00150908378167797,8313
"All",58000.5,"Pi",0.00180923238831556,7868
"All",59000.5,"Pi",0.00249787297933036,7540
"All",60000.5,"Pi",0.00272782125143955,7220
"All",61000.5,"Pi",0.0029569651617469,6913
"All",62000.5,"Pi",0.0031868453007667,6586
"All",63000.5,"Pi",0.00419200661920576,6006
"All",64000.5,"Pi",0.00475056530943956,5054
"All",65000.5,"Pi",0.00451914567654329,5321
"All",66000.5,"Pi",0.00388052113912458,5863
"All",67000.5,"Pi",0.00338074503543103,6043
"All",68000.5,"Pi",0.00288159527399801,6488
"All",69000.5,"Pi",0.00197959607553436,6812
"All",70000.5,"Pi",0.00155445865979463,7154
"All",71000.5,"Pi",0.00106154940746319,7514
"All",72000.5,"Pi",0.000686741929278957,7888
"All",73000.5,"Pi",0.000151747225748349,8468
"All",74000.5,"Pi",0.000138543990041727,9275
"All",75000.5,"Pi",0.000305447644482133,9418
"All",76000.5,"Pi",0.000330696584609855,8418
"All",77000.5,"Pi",0.000290347110342382,7418
"All",78000.5,"Pi",0.000318003537922813,6418
"All",79000.5,"Pi",0.000355739086376744,5422
"All",80000.5,"Pi",0.000410910749733024,4422
"All",81000.5,"Pi",0.000574085913928243,3901
"All",82000.5,"Pi",0.000578922603117759,3901
"All",83000.5,"Pi",0.00060213548934473,3867
"All",84000.5,"Pi",0.000750184040212327,3129
"All",85000.5,"Pi",0.000346978230393545,3084
"All",86000.5,"Pi",0.000384072835239838,4084
"All",87000.5,"Pi",0.000352814848903206,5084
"All",88000.5,"Pi",0.000310271355264098,6084
"All",89000.5,"Pi",0.000273381623524546,7043
"All",90000.5,"Pi",0.00024252147923309,8017
"All",91000.5,"Pi",0.000253188693767328,8538
"All",92000.5,"Pi",0.000259818322905874,8538
"All",93000.5,"Pi",0.000265097630807841,8572
"All",94000.5,"Pi",0.000250471809205,9503
"All",95000.5,"Pi",0.000200444505590873,9933
"All",96000.5,"Pi",0.00015714612000743,9858
"All",97000.5,"Pi",0.000136220038837203,9858
"All",98000.5,"Pi",0.000145104919809839,9855
"All",99000.5,"Pi",0.000150187284687979,9896
"All",100000.5,"Pi",0.000155498603392173,9922
"All",101000.5,"Pi",0.000100183830966058,9883
"All",102000.5,"Pi",0.000106276837752306,9849
"All",103000.5,"Pi",0.00012024039684988,9847
"All",104000.5,"Pi",0.00010737509410604,9847
"All",105000.5,"Pi",0.000109291203025335,9847
"All",106000.5,"Pi",0.000103249286339805,9875
"All",107000.5,"Pi",0.000105159962241405,9875
"All",108000.5,"Pi",9.06112979063351e-05,9878
"All",109000.5,"Pi",8.30072982024909e-05,9878
"All",110000.5,"Pi",8.30072982024909e-05,9878
