"start","end","position","variable","value","Q1Fst","Q3Fst","maxFst"
"1","10000",5000.5,"Fst",0.0151601113701011,0,0.00933382033104446,0.0192555919587883
"1001","11000",6000.5,"Fst",0.0139528092621887,0,0.0114963748689116,0.0235037501660149
"2001","12000",7000.5,"Fst",0.0228864144617343,0,0.0125225419411826,0.0256011702247519
"3001","13000",8000.5,"Fst",0.0199858179054665,0,0.016921713330959,0.0404927788785984
"4001","14000",9000.5,"Fst",0.0198662517086753,0,0.0160906040972797,0.0375020063680817
"5001","15000",10000.5,"Fst",0.0198662517086753,0,0.0160906040972797,0.0375020063680817
"6001","16000",11000.5,"Fst",0.0198662517086753,0,0.0160906040972797,0.0375020063680817
"7001","17000",12000.5,"Fst",0.0198280150901692,0,0.0145868785881621,0.0340936626604506
"8001","18000",13000.5,"Fst",0.0240879746774549,0,0.0166952682200108,0.0392692293068704
"9001","19000",14000.5,"Fst",0.0206433077332924,0,0.0241596711283419,0.0596797165387154
"10001","20000",15000.5,"Fst",0.0212467593265783,0,0.0262146413168346,0.0625085543784729
"11001","21000",16000.5,"Fst",0.0212467593265783,0,0.0262146413168346,0.0625085543784729
"12001","22000",17000.5,"Fst",0.00465112180023852,0,0.0374062463864019,0.0757300058883795
"13001","23000",18000.5,"Fst",0.00588478065596854,0,0.0324411866909314,0.0738233071182541
"14001","24000",19000.5,"Fst",0.00565766341697305,0,0.0356190213963877,0.0804054939526784
"15001","25000",20000.5,"Fst",0.00565766341697305,0,0.0356190213963877,0.0804054939526784
"16001","26000",21000.5,"Fst",0.00565766341697305,0,0.0356190213963877,0.0804054939526784
"17001","27000",22000.5,"Fst",0.00382931085575045,0,0.040013747258708,0.0916267672889624
"18001","28000",23000.5,"Fst",0.00228254927743821,0,0.0298278679699687,0.0634493120935411
"19001","29000",24000.5,"Fst",0.00254689242282147,0,0.0293540858319693,0.0623927808824424
"20001","30000",25000.5,"Fst",0.00268058374144142,0,0.0308876833836795,0.0655065059380756
"21001","31000",26000.5,"Fst",0.00268058374144142,0,0.0308876833836795,0.0655065059380756
"22001","32000",27000.5,"Fst",0,0,0.029041836087778,0.0650725419511432
"23001","33000",28000.5,"Fst",0.0685747931610002,0,0.113536353541172,0.35039144597177
"24001","34000",29000.5,"Fst",0.0685747931610002,0,0.113536353541172,0.35039144597177
"25001","35000",30000.5,"Fst",0.0685747931610002,0,0.113536353541172,0.35039144597177
"26001","36000",31000.5,"Fst",0.0685747931610002,0,0.113536353541172,0.35039144597177
"27001","37000",32000.5,"Fst",0.0685747931610002,0,0.113536353541172,0.35039144597177
"28001","38000",33000.5,"Fst",0.125242076394867,0,0.206149741181891,0.552485499801595
"29001","39000",34000.5,"Fst",0.129667189375768,0,0.212417639839607,0.567588733435021
"30001","40000",35000.5,"Fst",0.135032528434968,0,0.219732498909016,0.584369664184188
"31001","41000",36000.5,"Fst",0.135032528434968,0,0.219732498909016,0.584369664184188
