"start","end","position","variable","value","Q1Fst","Q3Fst","maxFst"
"1","10000",5000.5,"Fst",0.0011843590327858,0,0.0240766046131387,0.0622476509813285
"1001","11000",6000.5,"Fst",0.00108154119206916,0,0.0242317304278099,0.0625363590112118
"2001","12000",7000.5,"Fst",0.000339918834840636,0,0.0260505941098758,0.0709312437216546
"3001","13000",8000.5,"Fst",0,0,0.0263314165594348,0.0708887234388506
"4001","14000",9000.5,"Fst",0.00272189554387614,0,0.028772724142615,0.0791877104377103
"5001","15000",10000.5,"Fst",0.00552454829249827,0,0.0271951147160115,0.0685188133524385
"6001","16000",11000.5,"Fst",0.00769022549491893,0,0.0242317049730933,0.0633655555112335
"7001","17000",12000.5,"Fst",0.00882828282828274,0,0.0227381477286149,0.0594000024579988
"8001","18000",13000.5,"Fst",0.00805176318343592,0,0.0228246352249123,0.0609944751381215
"9001","19000",14000.5,"Fst",0.00304024543537085,0,0.0247461655551856,0.0679038024933045
"10001","20000",15000.5,"Fst",0.00072173511767426,0,0.0262257038030537,0.0768677909055849
"11001","21000",16000.5,"Fst",0.000718162532487132,0,0.0260805143850167,0.0765577806100179
"12001","22000",17000.5,"Fst",0.0011705524429183,0,0.0260741919945573,0.0757793682471956
"13001","23000",18000.5,"Fst",0.0015702841656372,0,0.0301756076576749,0.078572424369162
"14001","24000",19000.5,"Fst",0,0,0.0307132522097063,0.0720971328148514
"15001","25000",20000.5,"Fst",0,0,0.0319444488092744,0.0677227071387655
"16001","26000",21000.5,"Fst",0,0,0.0333413324604186,0.0707246017113411
"17001","27000",22000.5,"Fst",0,0,0.0345017315648877,0.073623612361236
"18001","28000",23000.5,"Fst",0,0,0.0329129134252278,0.0685575621662335
"19001","29000",24000.5,"Fst",0,0,0.0340407135596159,0.0730486962791863
"20001","30000",25000.5,"Fst",0,0,0.0335313630544062,0.0669633056840758
"21001","31000",26000.5,"Fst",0,0,0.033022769987585,0.0656788472964943
"22001","32000",27000.5,"Fst",0,0,0.0305373915423704,0.057372765261837
"23001","33000",28000.5,"Fst",0,0,0.0346990533849077,0.0583134939507258
"24001","34000",29000.5,"Fst",0,0,0.0390571008216002,0.07660724896019
"25001","35000",30000.5,"Fst",0,0,0.0390571008216002,0.07660724896019
"26001","36000",31000.5,"Fst",0,0,0.0436994892934694,0.0968886186277491
"27001","37000",32000.5,"Fst",0,0,0.0467466287549624,0.103160093159006
"28001","38000",33000.5,"Fst",0,0,0.0413189254241192,0.0924121015408165
"29001","39000",34000.5,"Fst",0,0,0.039919693819545,0.090084337053156
"30001","40000",35000.5,"Fst",0,0,0.0399151834567867,0.0901697859404956
"31001","41000",36000.5,"Fst",0,0,0.0387187143496043,0.0812084812084811
"32001","42000",37000.5,"Fst",0,0,0.0375750174809735,0.0790786300968959
"33001","43000",38000.5,"Fst",0,0,0.0350338784566769,0.0706247123513309
"34001","44000",39000.5,"Fst",0,0,0.036862421963432,0.0777185066158451
"35001","45000",40000.5,"Fst",0,0,0.0362009621584715,0.0748525523693309
"36001","46000",41000.5,"Fst",0,0,0.0309855224206782,0.0612590242332276
"37001","47000",42000.5,"Fst",0,0,0.0282183826962353,0.0579652833777887
"38001","48000",43000.5,"Fst",0,0,0.028836196029989,0.0684075442110614
"39001","49000",44000.5,"Fst",0,0,0.0313788068435445,0.0595366690995593
"40001","50000",45000.5,"Fst",0,0,0.0339673564644948,0.0721609754259009
"41001","51000",46000.5,"Fst",0,0,0.035397631249505,0.0787283124309571
"42001","52000",47000.5,"Fst",0,0,0.0375535795804756,0.0914407230196705
"43001","53000",48000.5,"Fst",0,0,0.0376383256245997,0.0927279981139946
"44001","54000",49000.5,"Fst",0,0,0.0332387604912711,0.0835582137161084
