"start","end","position","variable","value","Q1Fst","Q3Fst","maxFst"
"1","10000",5000.5,"Fst",0.0608877529758373,0,0.0346833728238038,0.0809568995913965
"1001","11000",6000.5,"Fst",0.0517166473499017,0,0.0352778211840021,0.0766172474615056
"2001","12000",7000.5,"Fst",0.107022904193298,0,0.0318137108973864,0.0637767440112538
"3001","13000",8000.5,"Fst",0.0927234024477158,0,0.0328618036713459,0.0688968998303471
"4001","14000",9000.5,"Fst",0.0927234024477158,0,0.0328618036713459,0.0688968998303471
"5001","15000",10000.5,"Fst",0.0916426129596114,0,0.032719671706894,0.0677820980733602
"6001","16000",11000.5,"Fst",0.0910496444149078,0,0.0322588345369255,0.0666996286285626
"7001","17000",12000.5,"Fst",0.117750822003021,0,0.0363557108936997,0.0680740163993133
"8001","18000",13000.5,"Fst",0.117750822003021,0,0.0363557108936997,0.0680740163993133
"9001","19000",14000.5,"Fst",0.119681163347333,0,0.0369826332655637,0.0692241184873318
"10001","20000",15000.5,"Fst",0.130923003553462,0,0.0418009371981407,0.077047753770523
"11001","21000",16000.5,"Fst",0.125535222573336,0,0.0393392723039247,0.0721223003107524
"12001","22000",17000.5,"Fst",0.0115495728071793,0,0.0460912984746101,0.0919998159083224
"13001","23000",18000.5,"Fst",0.00669344042838005,0,0.043552744690116,0.0876500067090995
"14001","24000",19000.5,"Fst",0.0108902983321588,0,0.0378378254169208,0.0934011027902856
"15001","25000",20000.5,"Fst",0.00926634318331576,0,0.0399161461189766,0.101984169434187
"16001","26000",21000.5,"Fst",0.0067115328037658,0,0.0430755211164617,0.109235101569269
"17001","27000",22000.5,"Fst",0.0104690293816808,0,0.0373437316714011,0.0920993281230192
"18001","28000",23000.5,"Fst",0.0179346224876223,0,0.0359295323949234,0.0857592749059068
"19001","29000",24000.5,"Fst",0.0190765109660136,0,0.0336609745161475,0.0801411588178014
"20001","30000",25000.5,"Fst",0.0186721202944435,0,0.0328588928985027,0.07825587361243
"21001","31000",26000.5,"Fst",0.0628345087431167,0,0.0221493761155504,0.0516482364233231
"22001","32000",27000.5,"Fst",0.0628345087431167,0,0.0221493761155504,0.0516482364233231
"23001","33000",28000.5,"Fst",0.0539296135678473,0,0.0255511015459462,0.0550657012603916
"24001","34000",29000.5,"Fst",0.0555601046691706,0,0.0270077626537002,0.0614760717464471
"25001","35000",30000.5,"Fst",0.054077822369569,0,0.0260758153848541,0.0606095218316806
"26001","36000",31000.5,"Fst",0.0612519579973313,0,0.0327451608427188,0.0888361447825717
"27001","37000",32000.5,"Fst",0.0614365087863321,0,0.033245963582291,0.0918884165579282
"28001","38000",33000.5,"Fst",0.0594710970070312,0,0.0344628463040335,0.0956089414545698
"29001","39000",34000.5,"Fst",0.0710047145451214,0,0.0335770277060684,0.098197425227087
"30001","40000",35000.5,"Fst",0.0707980326828496,0,0.0331410003182006,0.0958768336196644
"31001","41000",36000.5,"Fst",0.0631901796269067,0,0.0374534393681302,0.109322859058883
"32001","42000",37000.5,"Fst",0.0703450944414801,0,0.0325118872437441,0.0945591692302876
"33001","43000",38000.5,"Fst",0.0760942760942762,0,0.0349339922299458,0.0986712736468555
"34001","44000",39000.5,"Fst",0.077436170328298,0,0.0353871816923606,0.0992396038670698
"35001","45000",40000.5,"Fst",0.0781136691276046,0,0.0355556395203156,0.100121393677035
"36001","46000",41000.5,"Fst",0.0773271545423445,0,0.025127500392162,0.0557435537397711
"37001","47000",42000.5,"Fst",0.0829940526762957,0,0.0273939601924072,0.0608386661166814
"38001","48000",43000.5,"Fst",0.0807746374055269,0,0.0266122840733785,0.0590262601014364
"39001","49000",44000.5,"Fst",0.0432904599410855,0,0.0372798673337007,0.093311685490774
"40001","50000",45000.5,"Fst",0.0434285480522404,0,0.0381931814828378,0.0951405121617888
"41001","51000",46000.5,"Fst",0.0441377383251252,0,0.0370858962511477,0.0929001575990033
"42001","52000",47000.5,"Fst",0.0242424242424243,0,0.0448667449733185,0.115409609670826
"43001","53000",48000.5,"Fst",0.0437733916881027,0,0.044293893037226,0.0870735504734396
"44001","54000",49000.5,"Fst",0.0334030037277253,0,0.0493479313821224,0.104537646340056
"45001","55000",50000.5,"Fst",0.0498768130530232,0,0.0471705491535511,0.097407483411998
"46001","56000",51000.5,"Fst",0.0421359308934349,0,0.0520258370780407,0.101318784896678
"47001","57000",52000.5,"Fst",0.0403893171620171,0,0.0485138999719552,0.095232346705498
"48001","58000",53000.5,"Fst",0.0373133642247719,0,0.0498279524220592,0.102616364744335
"49001","59000",54000.5,"Fst",0.0424758393191529,0,0.0469356669495589,0.106778993252022
"50001","60000",55000.5,"Fst",0.0417498523287533,0,0.0480684929216785,0.107566037735849
"51001","61000",56000.5,"Fst",0.0452347886237263,0,0.0463273327409604,0.0951517731594358
"52001","62000",57000.5,"Fst",0.0468436158421783,0,0.0449411218180253,0.100269079869253
"53001","63000",58000.5,"Fst",0.038044620661443,0,0.0454900341403666,0.110645113880588
"54001","64000",59000.5,"Fst",0.0612564823492658,0,0.0413297325874326,0.0944858782875828
"55001","65000",60000.5,"Fst",0.0468729626771258,0,0.0461630067195861,0.106861274341708
"56001","66000",61000.5,"Fst",0.0610664121096413,0,0.0387295523364596,0.0967703477188898
"57001","67000",62000.5,"Fst",0.0655417575125605,0,0.0426038236572779,0.106010220782257
"58001","68000",63000.5,"Fst",0.0607867815535545,0,0.0466935650111133,0.119630162597833
"59001","69000",64000.5,"Fst",0.0890736306539799,0,0.0400174873075126,0.0874135926473062
